gene_id,mean_d1,mean_d2,delta_mean_d1_minus_d2,detected_frac_d1,detected_frac_d2,delta_detected_frac_d1_minus_d2,u_statistic,p_value,q_value_bh,abs_delta_mean,is_ercc,gene_id_stripped,gene_symbol,gene_biotype,is_mito,is_ribo,is_hla
ENSG00000231017,0.0024232633279483,0.0835534213685471,-0.0811301580405988,0.0024232633279483,0.0523409363745496,-0.0499176730466013,2449362.5,6.787723241790441e-15,7.071160616981689e-15,0.0811301580405988,False,ENSG00000231017,RPS27P10,processed_pseudogene,False,True,False
ENSG00000188512,0.0,0.0821128451380549,-0.0821128451380549,0.0,0.0523409363745496,-0.0523409363745496,2443193.0,2.121288127868185e-16,2.293433152885515e-16,0.0821128451380549,False,ENSG00000188512,ENSG00000188512,processed_pseudogene,False,False,False
ENSG00000243904,0.0,0.0823529411764702,-0.0823529411764702,0.0,0.0571428571428569,-0.0571428571428569,2430813.0,7.96194492655866e-18,8.95571540481483e-18,0.0823529411764702,False,ENSG00000243904,RPSAP5,processed_pseudogene,False,True,False
ENSG00000196796,0.0064620355411954,0.0888355342136851,-0.0823734986724897,0.0024232633279483,0.053301320528211,-0.0508780572002627,2447100.0,3.9262916196955074e-15,4.105134838294906e-15,0.0823734986724897,False,ENSG00000196796,NPIPB10P,transcribed_unprocessed_pseudogene,False,False,False
ENSG00000243122,0.0,0.0830732292917164,-0.0830732292917164,0.0,0.0593037214885951,-0.0593037214885951,2425242.0,1.805253351964489e-18,2.062166451642985e-18,0.0830732292917164,False,ENSG00000243122,ENSG00000243122,processed_pseudogene,False,False,False
ENSG00000237709,0.0549273021001615,0.139975990396158,-0.0850486882959964,0.0016155088852988,0.1094837935174061,-0.1078682846321072,2300216.5,6.739936894600255e-33,1.0127930754525476e-32,0.0850486882959964,False,ENSG00000237709,EEF1A1P28,processed_pseudogene,False,False,False
ENSG00000229704,0.0541195476575121,0.140456182472989,-0.0863366348154769,0.0016155088852988,0.0583433373349337,-0.0567278284496348,2432057.0,4.111006796876142e-17,4.53956599470481e-17,0.0863366348154769,False,ENSG00000229704,EIF2S2P2,processed_pseudogene,False,False,False
ENSG00000224785,0.0,0.0871548619447776,-0.0871548619447776,0.0,0.0540216086434571,-0.0540216086434571,2438860.0,6.765219249309717e-17,7.416604034512172e-17,0.0871548619447776,False,ENSG00000224785,ENSG00000224785,processed_pseudogene,False,False,False
ENSG00000241494,0.0411954765751211,0.1286914765906356,-0.0874960000155144,0.0048465266558966,0.0773109243697474,-0.0724643977138508,2391440.0,7.726722888464675e-21,9.273933304321443e-21,0.0874960000155144,False,ENSG00000241494,ENSG00000241494,processed_pseudogene,False,False,False
ENSG00000182383,0.0016155088852988,0.0900360144057619,-0.088420505520463,0.0016155088852988,0.0648259303721485,-0.0632104214868496,2415104.0,4.21029682082214e-19,4.871925663993959e-19,0.088420505520463,False,ENSG00000182383,RPL27AP5,processed_pseudogene,False,True,False
